DMA,Taylor Swift
St. Joseph MO,100
Lafayette IN,96
North Platte NE,96
Watertown NY,95
Columbia-Jefferson City MO,83
Rochester MN-Mason City IA-Austin MN,83
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,83
Traverse City-Cadillac MI,82
Sioux City IA,82
Johnstown-Altoona PA,82
Butte-Bozeman MT,81
Duluth MN-Superior WI,80
Evansville IN,78
Des Moines-Ames IA,78
Bluefield-Beckley-Oak Hill WV,77
Omaha NE,77
Wheeling WV-Steubenville OH,77
Springfield MO,77
Peoria-Bloomington IL,76
Davenport IA-Rock Island-Moline IL,76
Marquette MI,75
Sioux Falls(Mitchell) SD,75
Portland-Auburn ME,75
Zanesville OH,74
Fargo-Valley City ND,74
Charlottesville VA,74
Toledo OH,74
Wausau-Rhinelander WI,73
Missoula MT,73
Burlington VT-Plattsburgh NY,72
Terre Haute IN,72
Twin Falls ID,71
La Crosse-Eau Claire WI,71
Ottumwa IA-Kirksville MO,71
Green Bay-Appleton WI,71
Binghamton NY,69
Champaign & Springfield-Decatur IL,69
Quincy IL-Hannibal MO-Keokuk IA,68
Erie PA,68
Utica NY,68
Minot-Bismarck-Dickinson(Williston) ND,68
Pittsburgh PA,68
Bend OR,68
Charleston-Huntington WV,68
Albany-Schenectady-Troy NY,68
Bowling Green KY,67
Kansas City MO,67
Topeka KS,67
Minneapolis-St. Paul MN,66
Lincoln & Hastings-Kearney NE,66
Madison WI,66
South Bend-Elkhart IN,66
Buffalo NY,65
Dayton OH,65
Wilkes Barre-Scranton PA,65
San Angelo TX,65
Mankato MN,64
Elmira NY,64
Lexington KY,64
Corpus Christi TX,63
Jonesboro AR,63
Providence RI-New Bedford MA,63
Cincinnati OH,63
Grand Rapids-Kalamazoo-Battle Creek MI,63
Ft. Smith-Fayetteville-Springdale-Rogers AR,63
Boston MA-Manchester NH,63
Idaho Falls-Pocatello ID,63
Biloxi-Gulfport MS,62
Lima OH,62
Cleveland-Akron (Canton) OH,61
Flint-Saginaw-Bay City MI,61
Harrisonburg VA,61
Louisville KY,61
Boise ID,61
Casper-Riverton WY,61
Ft. Wayne IN,60
Indianapolis IN,60
Rochester NY,60
Wilmington NC,60
Bangor ME,60
Abilene-Sweetwater TX,60
Greenville-New Bern-Washington NC,59
Harrisburg-Lancaster-Lebanon-York PA,58
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,58
Knoxville TN,58
Rapid City SD,58
"Billings, MT",58
Denver CO,58
Syracuse NY,58
Oklahoma City OK,57
Huntsville-Decatur (Florence) AL,57
Great Falls MT,57
Clarksburg-Weston WV,57
Chattanooga TN,57
Salt Lake City UT,57
Youngstown OH,57
Reno NV,57
Salisbury MD,57
Juneau AK,57
Colorado Springs-Pueblo CO,56
Wichita Falls TX & Lawton OK,56
Presque Isle ME,56
Panama City FL,56
Medford-Klamath Falls OR,55
Tucson (Sierra Vista) AZ,55
Detroit MI,55
Roanoke-Lynchburg VA,54
Grand Junction-Montrose CO,54
Chicago IL,54
Lansing MI,54
Greenville-Spartanburg SC-Asheville NC-Anderson SC,53
Spokane WA,53
Wichita-Hutchinson KS,53
Sherman TX-Ada OK,53
Chico-Redding CA,53
Harlingen-Weslaco-Brownsville-McAllen TX,52
Amarillo TX,52
Cheyenne WY-Scottsbluff NE,52
Laredo TX,52
Tri-Cities TN-VA,52
Lubbock TX,52
Nashville TN,52
Columbus OH,52
Springfield-Holyoke MA,51
Charleston SC,51
Lake Charles LA,51
New Orleans LA,50
Rockford IL,50
Philadelphia PA,50
Hartford & New Haven CT,50
Joplin MO-Pittsburg KS,50
Seattle-Tacoma WA,50
Milwaukee WI,50
Tyler-Longview(Lufkin & Nacogdoches) TX,49
Tulsa OK,49
Fairbanks AK,49
Santa Barbara-Santa Maria-San Luis Obispo CA,49
Richmond-Petersburg VA,49
Gainesville FL,49
Orlando-Daytona Beach-Melbourne FL,48
Phoenix AZ,48
Florence-Myrtle Beach SC,48
Raleigh-Durham (Fayetteville) NC,47
Anchorage AK,47
Dothan AL,47
Norfolk-Portsmouth-Newport News VA,47
Odessa-Midland TX,47
Savannah GA,47
San Francisco-Oakland-San Jose CA,46
San Antonio TX,46
Hattiesburg-Laurel MS,46
Lafayette LA,46
Palm Springs CA,46
Little Rock-Pine Bluff AR,46
Birmingham AL,45
Mobile AL-Pensacola (Ft. Walton Beach) FL,45
Victoria TX,45
Tampa-St. Petersburg (Sarasota) FL,45
Columbus-Tupelo-West Point MS,45
Albuquerque-Santa Fe NM,45
Jackson TN,44
Sacramento-Stockton-Modesto CA,44
Baton Rouge LA,44
Greensboro-High Point-Winston Salem NC,44
El Paso TX,43
Augusta GA,43
Charlotte NC,43
Eureka CA,43
San Diego CA,43
Tallahassee FL-Thomasville GA,43
Yakima-Pasco-Richland-Kennewick WA,43
Waco-Temple-Bryan TX,43
Honolulu HI,43
Jackson MS,43
Meridian MS,43
Helena MT,43
Columbus GA,42
Columbia SC,42
Yuma AZ-El Centro CA,42
Houston TX,42
Jacksonville FL,42
Parkersburg WV,42
Alexandria LA,42
Fresno-Visalia CA,42
Los Angeles CA,41
Montgomery (Selma) AL,41
Monterey-Salinas CA,41
Ft. Myers-Naples FL,41
Beaumont-Port Arthur TX,41
Austin TX,41
New York NY,41
Bakersfield CA,40
West Palm Beach-Ft. Pierce FL,40
St. Louis MO,40
Dallas-Ft. Worth TX,39
Las Vegas NV,38
Atlanta GA,38
Washington DC (Hagerstown MD),37
Monroe LA-El Dorado AR,37
Macon GA,37
Shreveport LA,36
Memphis TN,36
Baltimore MD,35
Albany GA,35
Miami-Ft. Lauderdale FL,30
Portland OR,28
Greenwood-Greenville MS,27
Eugene OR,20
Glendive MT,0
Alpena MI,0
